	0
无	210947
无发热	90248
流涕	81223
发热	61759
有	56436
无胸痛	53512
无气促	53083
无呕吐	46519
呕吐	46192
咳嗽	46173
无咳嗽	44159
大小便正常	43961
鼻塞	41366
无腹痛	40352
心悸	38709
伴	37518
寒战	32626
气促	30983
腹泻	29566
患者	27175
咳痰	25305
无抽搐	23830
痛	23077
二便正常	22996
周	22844
现	22658
无腹泻	21997
腹痛	21354
疼痛	20362
无恶心	19328
无鼻塞	19309
无胸闷	19287
有痰	19149
咽痛	18944
无头痛	18884
无咽痛	18430
胸闷	18029
不适	18019
无伴	17360
无畏寒	16302
尿痛	16216
无咯血	16166
后	15958
尿急	15912
天	15008
头痛	14871
痛经	14644
无尿频	14402
无气喘	14332
出	14297
无呼吸困难	14098
皮疹	13834
胃纳欠佳	13740
有咳嗽	13669
痰	13573
病史	13169
史	12818
气喘	12732
抽搐	12433
小便正常	12413
出现	11940
明显	11899
胸痛	11736
小便	11488
无异常	11421
大	11324
量中	11261
胃纳一般	11097
大便正常	10959
大便	10825
高血压	10749
无明显	10253
月	10135
既往月经规则	9906
发	9835
畏寒	9786
量少	9554
前	9546
胃纳差	9389
时	9300
因	9223
胃纳可	9148
伴恶心	8738
流清涕	8654
痒	8628
无耳鸣	8566
糖尿病	8407
病后胃纳一般	8331
有头痛	8315
无伴气促	8298
血	8232
有流涕	8178
头晕	8130
无明显诱因出现发热	8126
无头晕	7941
腹胀	7920
伴咽痛	7860
今天	7811
小时前	7706
无明显诱因出现	7696
流鼻涕	7647
无阴道流血	7630
加重	7620
月经	7585
多	7510
嗳气	7439
发现	7437
无排黑便	7319
精神	7258
恶心	7251
感	7158
乏力	7020
有咽痛	7008
反复	6847
呕吐胃内容物	6816
好转	6813
为	6809
无咳痰	6743
喷嚏	6740
今	6737
正常	6726
伴头痛	6667
不	6663
咯痰	6457
伴咳嗽	6415
精神一般	6397
少	6255
冠心病	6249
心	6238
日	6089
纳差	6072
纳一般	6062
经	6028
阵发性	5936
未	5867
反酸	5858
治疗	5847
出血	5823
次	5766
无尿频尿急尿痛	5728
