0	1	2
无明显诱因下躯干及双下肢皮肤出现风团样皮疹	42	[['无明显诱因下', '躯干及双下肢皮肤出现风团样皮疹', 247.32]]
无明显诱因下颜面部及躯干皮肤出现粟粒样皮疹	15	-
无明显诱因下躯干及双下肢皮肤出现粟粒样皮疹	5	-
无明显诱因下突然双上肢及躯干皮肤出现散在	39	-
无明显诱因下躯干及四肢皮肤出现风团样皮疹	14	-
无明显诱因下突然全身皮肤出现风团样皮疹	32	[['无明显诱因下', '突然全身皮肤出现风团样皮疹', 188.43], ['无明显诱因下突然', '全身皮肤出现风团样皮疹', 7692.31], ['无明显诱因下突然全身皮肤出现', '风团样皮疹', 7901.23]]
无明显诱因下突然全身皮肤出现风团样皮疹	32	[['无明显诱因下', '突然全身皮肤出现风团样皮疹', 188.43], ['无明显诱因下突然', '全身皮肤出现风团样皮疹', 7692.31], ['无明显诱因下突然全身皮肤出现', '风团样皮疹', 7901.23]]
无明显诱因下突然全身皮肤出现风团样皮疹	32	[['无明显诱因下', '突然全身皮肤出现风团样皮疹', 188.43], ['无明显诱因下突然', '全身皮肤出现风团样皮疹', 7692.31], ['无明显诱因下突然全身皮肤出现', '风团样皮疹', 7901.23]]
无明显诱因开始出现全身皮肤瘙痒并伴有	7	[['无明显诱因', '开始出现全身皮肤瘙痒并伴有', 34.35]]
我院宫腔镜检查提示子宫内膜息肉样增生	15	[['我院宫腔镜检查提示', '子宫内膜息肉样增生', 2631.58], ['我院宫腔镜检查提示子宫内膜', '息肉样增生', 4629.63]]
我院宫腔镜检查提示子宫内膜息肉样增生	15	[['我院宫腔镜检查提示', '子宫内膜息肉样增生', 2631.58], ['我院宫腔镜检查提示子宫内膜', '息肉样增生', 4629.63]]
曾到当地医院予抗炎对症治疗后症状缓解	5	-
小时余前开始出现全身皮肤瘙痒并伴有	9	[['小时余前', '开始出现全身皮肤瘙痒并伴有', 612.24]]
无明显诱因出现阴道少许咖啡色分泌物	6	[['无明显诱因出现', '阴道少许咖啡色分泌物', 4.25], ['无明显诱因出现阴道', '少许咖啡色分泌物', 877.19], ['无明显诱因出现阴道少许', '咖啡色分泌物', 884.96]]
