	0
龄增长	[['龄增长', '龄', '增长', 0.006666666666666667]]
齿不清	[['齿不清', '齿', '不清', 0.0016869095816464238]]
鼻腔异物感	[['鼻腔异物感', '鼻腔', '异物感', 4.7200090624174e-05], ['鼻腔异物感', '鼻腔异物', '感', 9.978844848920289e-05]]
鼻腔异物	[['鼻腔异物', '鼻腔', '异物', 0.0002037015481317658]]
鼻腔异味	[['鼻腔异味', '鼻腔', '异味', 1.724351988522713e-05]]
鼻腔填塞	[['鼻腔填塞', '鼻腔', '填塞', 0.0014084507042253522]]
鼻翼两侧	[['鼻翼两侧', '鼻翼', '两侧', 0.001977587343441002]]
鼻窦炎病史	[['鼻窦炎病史', '鼻窦炎', '病史', 2.7433653873920703e-05], ['鼻窦炎病史', '鼻窦', '炎病史', 0.03247863247863248]]
鼻窦炎史	[['鼻窦炎史', '鼻窦炎', '史', 1.1888044342405397e-05], ['鼻窦炎史', '鼻窦', '炎史', 0.006652806652806653]]
鼻窦炎	[['鼻窦炎', '鼻窦', '炎', 0.007670392285776901]]
鼻窦手术	[['鼻窦手术', '鼻窦', '手术', 0.0015959144589849984]]
鼻炎病史	[['鼻炎病史', '鼻炎', '病史', 2.2988034063326904e-05], ['鼻炎病史', '鼻', '炎病史', 0.0015948332674311323]]
鼻炎康	[['鼻炎康', '鼻炎', '康', 0.00012963443090484831]]
鼻炎史	[['鼻炎史', '鼻炎', '史', 2.0628103258614627e-05], ['鼻炎史', '鼻', '炎史', 0.000676477188932705]]
鼻旁红斑	[['鼻旁红斑', '鼻旁', '红斑', 0.0005022181300744957]]
鼻旁皮疹	[['鼻旁皮疹', '鼻旁', '皮疹', 2.767017155506364e-05]]
鼻打喷嚏	[['鼻打喷嚏', '鼻', '打喷嚏', 2.9152342319602106e-05]]
鼻孔流血	[['鼻孔流血', '鼻孔', '流血', 4.8867893793777486e-05]]
鼻塞等不适	[['鼻塞等不适', '鼻塞', '等不适', 2.6574779829550004e-06]]
鼻塞流黄色	[['鼻塞流黄色', '鼻塞', '流黄色', 2.710168704749668e-07], ['鼻塞流黄色', '鼻塞流', '黄色', 0.0006012506012506013]]
鼻塞流黄涕	[['鼻塞流黄涕', '鼻塞', '流黄涕', 8.125174634829825e-08], ['鼻塞流黄涕', '鼻塞流', '黄涕', 0.0020718232044198894]]
鼻塞流脓涕	[['鼻塞流脓涕', '鼻塞', '流脓涕', 8.273832343827112e-08], ['鼻塞流脓涕', '鼻塞流', '脓涕', 0.0012626262626262627]]
鼻塞流清涕	[['鼻塞流清涕', '鼻塞', '流清涕', 2.829669945868093e-07], ['鼻塞流清涕', '鼻塞流', '清涕', 0.05900243309002433]]
鼻塞流涕	[['鼻塞流涕', '鼻塞', '流涕', 3.8149063347955e-07], ['鼻塞流涕', '鼻塞流', '涕', 0.07292013773186716]]
鼻塞流	[['鼻塞流', '鼻塞', '流', 6.97390815709328e-08]]
鼻塞感	[['鼻塞感', '鼻塞', '感', 1.154036632030873e-08], ['鼻塞感', '鼻', '塞感', 6.011349427719534e-06]]
