	0
无	1053773
发热	187526
咳嗽	157356
有	148136
伴	133373
呕吐	118343
正常	116875
出现	115782
流涕	104305
明显	96869
气促	96042
鼻塞	82801
腹痛	81430
患者	73219
小便	72342
胸痛	71525
胃	69899
咽痛	65350
月经	64286
性	59521
大	59369
头痛	58255
前	58239
诱因	57661
后	56653
腹泻	56067
无伴	52794
恶心	51766
疼痛	48964
史	46327
心悸	44761
不适	44264
胸闷	42363
大便	41942
畏寒	41477
纳	40703
抽搐	39573
一般	36785
头晕	36239
痛	36222
二便	36056
痰	35562
咳痰	34525
病史	34196
等	33410
血压	32840
寒战	32626
治疗	31615
高	31264
乏力	31117
现	31047
为	29798
规则	29649
皮疹	29198
气喘	28648
既往	28618
病	28309
小时	26852
可	26740
排	26475
尿痛	26450
开始	26445
下	26352
阵发	26049
尿频	26038
反复	25965
尿急	24478
困难	24292
周	24048
感	23866
阴道	23690
咯血	23475
精神	22516
未	22094
胃纳	22002
出	21591
糖尿病	21575
内	21238
呼吸	21042
不	20718
症状	20353
时	20004
肢体	19882
有痰	19780
少许	19303
异常	18984
容物	18905
加重	18441
伴有	18319
呈	18305
起	18272
否认	17995
便	17646
流血	17535
腹胀	17490
纳差	17363
咳	16940
天	16936
就诊	16787
欠佳	16643
缓解	16632
瘙痒	16297
好转	15955
平素	15922
量	15750
样	15657
外院	15449
物	15147
痛经	15016
检查	14999
耳鸣	14855
涕	14707
要求	14707
流	14667
于	13741
曾	13735
上	13645
发现	13414
规律	13345
全身	13345
我院	13200
行	13174
今	13164
喷嚏	12860
量中	12773
今天	12417
来	12346
月	12272
嗳气	12153
自觉	11708
鼻涕	11640
多	11507
觉	11373
昨天	11214
为主	11166
痒	11132
因	11079
经	10870
冠心	10795
未见	10780
发	10753
在	10615
四肢	10579
尿	10446
量少	10390
白痰	10211
黑便	10186
流清	10146
咯痰	10139
半天	10100
血	10068
出血	9928
病后	9919
水样	9880
妊娠	9833
避孕	9802
自行	9773
患儿	9746
以	9733
来诊	9724
活动	9678
腰痛	9671
能	9493
生活	9264
夜间	9183
术	9174
少	9059
黄色	9054
