keys,values
村卫生室,14522
镇,12056
卫生室,11603
诊所,10123
村,6944
区,6644
卫生院,5741
医院,5564
西,5509
市,5108
南,4711
县,4454
乡,4161
中医诊所,4139
卫生所,4103
社区卫生服务站,4055
中,3995
村卫生所,3638
东,3542
新,3482
安,2832
中心卫生院,2544
西医内科诊所,2424
门诊部,2266
山,2244
二,2034
街道,1971
医务室,1891
江,1801
平,1796
北,1793
一,1736
生,1671
大,1650
街,1602
龙,1599
阳,1565
城,1491
村卫生站,1490
华,1485
海,1364
室,1349
所,1337
三,1270
社区卫生服务中心,1149
中心,1146
王,1140
中医,1139
林,1086
河,1047
分院,989
门,949
高,936
口腔诊所,933
口,913
社区,889
康,885
兴,870
庄村卫生室,869
张,856
和,856
村第二卫生室,854
道,840
医,833
路,821
李,793
中西医结合诊所,777
金,773
中医内科诊所,757
水,721
社区卫生室,718
德,714
文,678
综合,675
内科诊所,668
卫生,664
庄,664
村第一卫生室,661
民,637
石,636
门诊,627
天,616
青,612
卫,610
中西医诊所,601
卫生站,595
明,585
院,585
站,584
济南,583
武,581
合,576
马,573
福,560
朝阳,556
四,548
杨,546
宁,541
中医院,541
山村卫生室,533
村卫生,529
上,528
湖,527
陈,521
医疗点,520
长,515
黄,513
和计划生育服务室,508
中医门诊部,507
刘,507
黔西,507
和平,499
中心卫生室,497
街道社区卫生服务中心,496
有限公司,490
台,489
云,480
桥,480
1,463
昌,462
州,461
新区,440
街道办事处,439
源,435
红,432
杭州,421
丰,421
田,421
建,414
医疗美容诊所,407
家,403
口腔门诊部,402
美,399
堂,399
镇东,396
仁,393
庆,392
科,391
分室,387
国,384
诊,380
湟中,379
新华,379
2,374
清,373
成,372
义,366
心,365
乐,364
小,363
城区,360
山镇,358
永,357
富,357
白,357
遂宁市,355
北京,354
玉,336
广,335
综合门诊部,331
光,327
上海,319
溪,317
滦南,311
关,310
公,310
开,309
第二,308
古,307
村第三卫生室,306
子,306
元,305
镇大,305
社,303
罗,303
前,300
沙,297
第一,293
周,291
汉,289
阆中,289
兴隆,288
平安,284
大连,284
新民,280
凤,277
泉,276
保,276
里,276
花,276
连,275
南宁,273
叙永,271
村卫生室1,269
医疗美容门诊部,266
分所,265
西安,264
石家庄,263
西安市长安,261
健,261
长治,261
马村卫生室,260
吉,260
济,258
妇科诊所,257
镇新,257
集,256
部,256
方,255
兰,252
五,252
吴,251
邵东,250
屯,249
川,249
顺,247
康复诊所,247
太平,247
葫芦岛市,245
中医坐堂医诊所,244
医院有限公司,244
安居区,243
洪,243
村第二卫生所,243
村第一卫生所,241
沈阳,240
赵,238
沟村卫生室,238
学,238
河村卫生室,238
西医诊所,238
唐山市,238
发,237
都,237
港,235
城东,234
卧龙,234
团结,232
高新,232
宁乡,232
利,231
仁和,228
桥东,228
卫生服务站,224
万,223
胜利,223
内,222
桥村卫生室,221
北京市,220
喀喇沁左翼蒙古族自治县,219
健康,218
堂中医诊所,217
园,215
苏,215
苍南,215
司,215
春,215
乐山市,214
办事处,213
中西医结合,213
宝,212
二道,212
城镇,212
山西省长子,212
桥西,211
开发区,210
会,210
任,210
中西医结合门诊部,208
简阳市,208
塘,207
集团,207
重庆市,207
泸县,207
平南,206
重庆,206
务,205
村卫生室2,204
阳光,203
西街,203
山村卫生所,201
荣,200
桥镇,199
延平,198
山村,198
营,197
邢台县,197
郭,197
木,195
南安市,195
庄村,195
南街,194
城南,193
岳,192
康诊所,192
服务中心,192
天津,191
河镇,191
梁,190
坪,188
和计生服务站,188
镇北,188
高新区,186
中学医务室,185
隆,185
州区,182
安岳县,180
徐,178
村第四卫生室,178
唐,176
办,176
岭,176
沟,176
光明,174
口镇,174
郑,174
河北,174
绵阳市,173
二卫生室,172
点,172
寨村卫生室,172
双,171
肥东,171
分,171
村卫生计生服务室,171
阜新,170
医疗,169
一卫生室,169
店,167
邢台市,167
沙河,166
寿光市,166
河南,166
巴,166
有,165
太,165
口腔医院,164
庄镇,164
资阳市雁江区,164
塔,163
科诊所,163
店中医坐堂医诊所,162
路社区卫生服务站,162
城乡,162
京,161
城北,161
达,161
峰,161
庄村卫生所,160
昆明,160
天津市,160
长安,160
