original_word,new_word,Province
连锁药店,药店,
连锁店,药店,
零售大药房,药店,
平价大药房,药店,
大药堂,药店,
大药房,药店,
大药店,药店,
药品超市,药店,
中西药店,药店,
药品商场,药店,
零售药店,药店,
零售店,药店,
药铺,药店,
药房,药店,
药号,药店,
药业,医药,
药品,医药,
医疗器械,器械,
门诊,门诊部,
康复护理院,护理院,
服务中心护理站,护理院,
护理站,护理院,
老年病院,老年病医院,
中医医院,中医院,
救援中心,急救中心,
急救站,急救中心,
急诊抢救中心,急救中心,
健康体检中心,体检中心,
体检站,体检中心,
妇女儿童医院,妇幼保健院,
妇产医院妇幼保健计划生育服务站,妇幼保健院,
妇幼保健计划生育服务中心,妇幼保健院,
妇幼保健所,妇幼保健院,
中心卫生院,卫生院,
社区卫生服务中心,卫生院,
社区卫生服务站,卫生院,
卫生服务中心,卫生院,
卫生保健中心,卫生院,
卫生保健所,卫生院,
卫生保健站,卫生院,
卫生服务站,卫生院,
医疗中心,卫生院,
医疗保健中心,卫生院,
保健站,卫生院,
卫生中心,卫生院,
卫生所,卫生院,
卫生站,卫生院,
预防诊疗服务中心,防治院,
防治所,防治院,
预防控制中心,防治院,
村卫生室,卫生室,
村卫生所,卫生室,
村卫生院,卫生室,
医疗室,卫生室,
医务室,卫生室,
医院有限公司,医院,
医院股份有限公司,医院,
诊所有限公司,诊所,
门诊有限公司,门诊部,
门诊部有限公司,门诊部,
门诊部有限责任公司,门诊部,
医院有限责任公司,医院,
妇幼保健计划生育服务站,妇幼保健院,
人口和计划生育生殖健康服务站,卫生院,
养老服务中心护理站,护理院,
养老服务中心医务室,医务室,
服务中心卫生站,卫生院,
急救分站,急救中心,
社区卫生服务室,卫生院,
分店,药店,
医院集团有限公司,医院,
门市,药店,
门店,药店,
中医医院,中医院,
妇幼保健站,妇幼保健院,
社区服务中心,卫生院,
高新技术产业开发区,高新区,
高新技术开发区,高新区,
高店乡,对江镇,贵州省
双峰乡,盈坑乡,浙江省
大逐乡,大岩乡,浙江省
大逐乡,逐步乡,浙江省
朝阳街道,进学街道,
潘黄镇,伍佑街道办事处,江苏省
城关镇,高塘岭镇,
托木吾斯塘乡,叶尔羌街道办事处,
莎车镇,叶尔羌街道办事处,
桃坪乡,桃坪镇,四川省
哈巴格希街道,康巴什区,内蒙古自治区
滨河街道,康巴什区,内蒙古自治区
青春山街道,康巴什区,内蒙古自治区
赵陵铺镇,赵佗路街道,
水口镇,茅溪镇,
三台子街道,四台子街道,辽宁省
喻家乡,走马镇,四川省
走马乡,走马镇,四川省
城南镇,城南街道,四川省
华丰街道,春雷街道,四川省
松林街道,春雷街道,四川省
九龙镇,朝阳街道,四川省
朝阳乡,朝阳街道,四川省
东湖乡,东湖街道,四川省
黄河街道,东湖街道,四川省
新庙乡,牛背山镇,
永兴镇,永兴街道,四川省
前进乡,前进镇,四川省
红岩乡,前进镇,四川省
九峰镇,大佛街道,四川省
凌云乡,大佛街道,四川省
嘉农镇,铜河街道,
沙湾镇绥,铜河街道,
稻谷乡,幸福镇,四川省
鲹鱼河镇,金江街道,
回龙镇,若水镇,四川省
森荣乡,若水镇,四川省
下村乡,城北街道,四川省
外北乡,城北街道,四川省
白果湾乡,城北街道,四川省
鲹鱼河镇,鱼城街道,
孔雀乡及佛星镇,南塔街道,四川省
岳阳镇,岳城街道,
叶城县,阿克塔什镇,
万寿乡,万寿镇,四川省
板桥镇,万寿镇,四川省
白兔乡,万寿镇,四川省
青丝乡,万寿镇,四川省
鹤林镇,万寿镇,四川省
三龙乡,沙坝镇,四川省
三龙乡,洼底镇,四川省
回龙乡,沙坝镇,四川省
回龙乡,洼底镇,四川省
洼底乡,沙坝镇,四川省
洼底乡,洼底镇,四川省
白溪乡,沙坝镇,四川省
